Iteration,Loss,Train_acc,Test_acc
1,inf,0.6445971267957527,0.6674364896073903
501,2.4394840294468025,0.6547470331043098,0.6528098537336413
1001,1.225989728506055,0.6606808244846971,0.6620477290223249
1501,0.8252642837578167,0.6672392254840724,0.6397228637413395
2001,0.7043290778056939,0.7276702061211743,0.7182448036951501
2501,0.9650272471021748,0.6111805121798876,0.625866050808314
3001,0.6696018047064616,0.7170518425983761,0.6789838337182448
3501,0.6175083489428647,0.6920674578388507,0.6812933025404158
4001,0.6260761523321362,0.70737039350406,0.7005388760585065
4501,0.5565513040474757,0.7254840724547158,0.7090069284064665
5001,0.7026402081508342,0.6449094316052467,0.648960739030023
5501,0.6147897019918405,0.6806683322923173,0.6712856043110085
6001,0.5825793564420464,0.7195502810743285,0.7190146266358738
6501,0.6242025716670372,0.6708307307932542,0.651270207852194
7001,0.5943473384079395,0.6947220487195502,0.6851424172440339
7501,0.5547207903951729,0.7239225484072455,0.7074672825250192
8001,0.6142155695373754,0.6912866958151156,0.6897613548883756
8501,0.5469834271864922,0.7343847595252967,0.737490377213241
9001,0.579960521007893,0.7170518425983761,0.7136258660508084
9501,0.5666211491250768,0.7204871955028107,0.737490377213241
10001,0.5851650254111005,0.7108057464084947,0.7082371054657429
10501,0.5464247413646038,0.7306371018113679,0.7205542725173211
11001,0.5798832286184593,0.7198625858838226,0.7267128560431101
11501,0.5419987124259295,0.7376639600249844,0.7336412625096228
12001,0.5567235754456773,0.7257963772642099,0.7244033872209392
12501,0.5873720870785839,0.7094003747657714,0.7151655119322555
13001,0.6223168152357041,0.688632104934416,0.6635873749037722
13501,0.5549632355085572,0.7284509681449094,0.7259430331023865
14001,0.5675381856430212,0.7242348532167395,0.7113163972286374
14501,0.5519390827488224,0.7325109306683323,0.7397998460354118
15001,0.5675101276985645,0.7259525296689568,0.7220939183987682
15501,0.552512956006647,0.7301686445971268,0.7228637413394919
16001,0.5610915880808456,0.7154903185509057,0.7143956889915319
16501,0.5641233549500465,0.7267332916926921,0.7236335642802155
17001,0.5514383481291593,0.7314178638351031,0.7244033872209392
17501,0.5743244624213484,0.7278263585259213,0.7251732101616628
18001,0.5507384869242968,0.7261086820737039,0.7097767513471901
18501,0.5398937021484549,0.7371955028107433,0.7267128560431101
19001,0.5454169393590428,0.735633978763273,0.7220939183987682
19501,0.5546253661791971,0.730793254216115,0.7120862201693611
20001,0.5431783610415762,0.7351655215490318,0.7220939183987682
20501,0.543878335615931,0.7339163023110555,0.7490377213240954
21001,0.553730550783546,0.726420986883198,0.7367205542725174
21501,0.5480913207978151,0.7201748906933166,0.7228637413394919
22001,0.5787131390254645,0.7061211742660837,0.7167051578137028
22501,0.545442706232737,0.7306371018113679,0.7205542725173211
23001,0.5490032641457235,0.7373516552154903,0.7244033872209392
23501,0.5668864142836599,0.7151780137414117,0.7167051578137028
24001,0.5401244612872036,0.735633978763273,0.7167051578137028
24501,0.5397826097840224,0.7343847595252967,0.7167051578137028
