Iteration,Loss,Train_acc,Test_acc
1,15318.84218225074,0.5,0.5427251732101617
501,18.18859257601312,0.6247373161212849,0.4703618167821401
1001,5.525569147754009,0.68282797958571,0.6759045419553503
1501,4.008620384589434,0.7119483638546983,0.7028483448806775
2001,3.262990549619367,0.6945361753227259,0.6081601231716706
2501,3.234623269160019,0.6469528670069048,0.6651270207852193
3001,1.9215225839068333,0.7182527769438607,0.5596612779060816
3501,2.1433821197849534,0.6780246172320624,0.6943802925327175
4001,1.7074078610303778,0.6990393275292704,0.6389530408006159
4501,1.7180087379810625,0.7023416391474032,0.6643571978444958
5001,1.7879564247373105,0.7011407985589913,0.5943033102386451
5501,1.9225443141026284,0.6688682077454218,0.5381062355658198
6001,1.448058621330273,0.7048934253977784,0.590454195535027
6501,1.504862254016069,0.6799759831882317,0.6312548113933796
7001,1.7484757133927624,0.6642149504653257,0.5858352578906851
7501,1.0203633163343264,0.7045932152506754,0.665896843725943
8001,1.2768157602019397,0.682527769438607,0.6181678214010777
8501,1.0850980643318706,0.7293605523866706,0.5465742879137798
9001,0.9302907125568688,0.721404983488442,0.6081601231716706
9501,1.014116723494037,0.7030921645151607,0.6466512702078522
10001,1.1284498839375012,0.704443110177124,0.6774441878367975
10501,1.0200349828403887,0.6883818673071149,0.7036181678214011
11001,0.9484022160100445,0.7262083458420895,0.6089299461123941
11501,1.0296138518014304,0.7036925848093666,0.6250962278675904
12001,1.191966254708072,0.6903332332632843,0.5057736720554272
12501,0.9241821950721867,0.7398679075352746,0.48729792147806006
13001,0.9489224561797601,0.7218552987090964,0.5080831408775982
13501,1.0756523078114535,0.6727709396577605,0.5573518090839107
14001,0.9296967037322792,0.7377664365055538,0.5365665896843725
14501,0.8471687807586473,0.7355148604022816,0.6466512702078522
15001,0.9491653401613277,0.6910837586310418,0.6705157813702848
15501,0.8899294139582176,0.7304112879015311,0.5242494226327945
16001,0.8232138069644618,0.7220054037826479,0.6458814472671286
16501,0.9362774677494945,0.7173521465025517,0.5373364126250962
17001,0.8888620638292538,0.6867307114980487,0.6820631254811393
17501,0.775216854305301,0.7443710597418193,0.5812163202463433
18001,0.748738276073464,0.7439207445211649,0.628175519630485
18501,0.9778021939903686,0.7000900630441309,0.6127790608160123
19001,0.8101352379015678,0.7326628640048034,0.5381062355658198
19501,0.753458333711768,0.7323626538577004,0.6766743648960739
20001,0.7616643110828555,0.7388171720204143,0.5488837567359507
20501,0.7336963333529245,0.7401681176823777,0.5958429561200924
21001,0.7576299508016681,0.7335634944461122,0.5288683602771362
21501,0.7594729973426743,0.7382167517262084,0.550423402617398
22001,0.7664336201741876,0.7308616031221855,0.535796766743649
22501,0.7770679154682044,0.7391173821675172,0.6497305619707467
23001,0.7589822789809432,0.7304112879015311,0.5173210161662818
23501,0.7012074203000456,0.7299609726808766,0.6443418013856813
24001,0.9533394724481148,0.6846292404683278,0.5812163202463433
24501,0.7782611640565548,0.7137496247373161,0.6759045419553503
25001,0.7261192381521002,0.7383668567997599,0.6073903002309469
25501,0.7159395403438891,0.7394175923146202,0.6689761354888376
26001,0.7229384557088392,0.7328129690783548,0.6389530408006159
26501,0.7296692551279035,0.7326628640048034,0.6166281755196305
27001,0.7068870686398738,0.7326628640048034,0.6505003849114703
27501,0.7399990409448106,0.7298108676073252,0.5565819861431871
28001,0.6628084496180564,0.7403182227559292,0.7482678983833718
28501,0.6892245578492102,0.7388171720204143,0.581986143187067
29001,0.6584388365083509,0.7467727409186431,0.6674364896073903
29501,0.6842163941022071,0.730711498048634,0.6982294072363356
30001,0.6666353568199235,0.7416691684178925,0.6874518860662048
30501,0.6702050847174674,0.7343140198138697,0.7036181678214011
31001,0.7685066847781995,0.7151005703992795,0.7082371054657429
31501,0.6773516007658822,0.7302611828279796,0.6566589684372595
32001,0.6612373719498402,0.7445211648153708,0.642802155504234
32501,0.7696691845988536,0.7056439507655359,0.5465742879137798
33001,0.6428435655049853,0.7443710597418193,0.6435719784449576
33501,0.684246284182756,0.7436205343740618,0.6020015396458814
34001,0.6507202878586572,0.7338637045932153,0.6166281755196305
34501,0.6354676820551757,0.7593815670969679,0.6982294072363356
35001,0.6568747588410667,0.7514259981987391,0.5919938414164743
35501,0.6486108213788995,0.7485740018012609,0.5519630484988453
36001,0.6716599362780901,0.7389672770939658,0.625866050808314
36501,0.6027618095364732,0.7595316721705193,0.7151655119322555
37001,0.6062642776963459,0.7593815670969679,0.6127790608160123
37501,0.7529996688637015,0.7084959471630141,0.6558891454965358
38001,0.6202424036426528,0.7589312518763134,0.6404926866820632
38501,0.7604960806716672,0.6945361753227259,0.6897613548883756
39001,0.645818746030183,0.7449714800360252,0.6836027713625866
39501,0.6710819373275622,0.7328129690783548,0.5604311008468053
40001,0.6409419820245834,0.7497748423896727,0.5943033102386451
40501,0.6764724629259856,0.7284599219453618,0.5396458814472671
41001,0.6774331529040808,0.7218552987090964,0.6789838337182448
41501,0.6212220520075225,0.7559291504052837,0.6735950731331793
42001,0.6352880514689406,0.7449714800360252,0.6728252501924558
42501,0.6412307980348783,0.7379165415791054,0.6805234795996921
43001,0.6267619534018186,0.7557790453317322,0.6689761354888376
43501,0.6819111572450178,0.7169018312818973,0.6150885296381832
44001,0.7090299111172919,0.7271089762833984,0.5342571208622017
44501,0.6067103099287615,0.7571299909936956,0.6836027713625866
45001,0.6140390283143312,0.7502251576103273,0.7251732101616628
45501,0.7525979267490096,0.7014410087060943,0.7066974595842956
46001,0.6261725478873074,0.7445211648153708,0.6728252501924558
46501,0.6217711010107798,0.7445211648153708,0.6073903002309469
47001,0.6370750666901797,0.7487241068748124,0.5473441108545035
47501,0.6956204951750107,0.7289102371660162,0.6481909160892995
48001,0.6145660382545975,0.7577304112879015,0.5850654349499615
48501,0.6306133317341361,0.7560792554788351,0.596612779060816
49001,0.6507824312610948,0.7397178024617233,0.6073903002309469
49501,0.6146800407337352,0.752927048934254,0.5573518090839107
50001,0.660476283177486,0.7340138096667668,0.6828329484218629
50501,0.63505995593483,0.7455719003302311,0.7013086989992302
51001,0.6163574873511778,0.7502251576103273,0.6158583525789069
51501,0.6059437366617684,0.7569798859201441,0.6982294072363356
52001,0.6228429327265278,0.752927048934254,0.6828329484218629
52501,0.6667893433024428,0.7397178024617233,0.657428791377983
53001,0.6686654104215037,0.7346142299609727,0.6351039260969977
53501,0.6008549296661337,0.7644851395977184,0.6389530408006159
54001,0.61366615974105,0.7610327229060342,0.6766743648960739
54501,0.6431184643778205,0.7446712698889223,0.5950731331793687
55001,0.6159024436908321,0.7440708495947163,0.6836027713625866
55501,0.6418065068281089,0.7443710597418193,0.6605080831408776
56001,0.6150289288015153,0.7535274692284599,0.6420323325635104
56501,0.6151670465749485,0.7515761032722906,0.6989992301770592
57001,0.6083347857721738,0.7482737916541579,0.7213240954580447
57501,0.6137301874724639,0.7482737916541579,0.5866050808314087
58001,0.5973042934568045,0.7622335634944462,0.6043110084680523
58501,0.6016029464957152,0.7509756829780847,0.6058506543494996
59001,0.6343316150753098,0.7392674872410687,0.5396458814472671
59501,0.6172669593239386,0.7553287301110777,0.5858352578906851
60001,0.6319537978929881,0.7461723206244371,0.7159353348729792
60501,0.6561722173484067,0.7475232662864005,0.6797536566589685
61001,0.6320908615114045,0.7502251576103273,0.7167051578137028
61501,0.6323587667209756,0.7407685379765836,0.7205542725173211
62001,0.6130643571734787,0.7514259981987391,0.7274826789838337
62501,0.6449920720720763,0.7506754728309817,0.552732871439569
63001,0.6077117639131047,0.7554788351846292,0.5581216320246344
63501,0.6007318142064296,0.752626838787151,0.6327944572748267
64001,0.610427334975987,0.7557790453317322,0.7059276366435719
64501,0.6061025609100162,0.752927048934254,0.6982294072363356
65001,0.6559020523256465,0.7271089762833984,0.6551193225558122
65501,0.619402573603471,0.7494746322425698,0.6150885296381832
66001,0.6105699588981411,0.7472230561392975,0.6081601231716706
66501,0.61807382476694,0.7442209546682678,0.6774441878367975
67001,0.6711269526216594,0.7358150705493846,0.6096997690531177
67501,0.6560424635149327,0.7350645451816271,0.6466512702078522
68001,0.6279290576370525,0.7469228459921945,0.6597382602001539
68501,0.5949602450046807,0.7637346142299609,0.6589684372594303
69001,0.6465930942125266,0.7442209546682678,0.5427251732101617
69501,0.6021535192865854,0.7544280996697689,0.6089299461123941
70001,0.5904979823424373,0.7533773641549084,0.5635103926096998
70501,0.6043557084686961,0.7544280996697689,0.5150115473441108
71001,0.608184310338086,0.7611828279795857,0.527328714395689
71501,0.648704221488323,0.7427199039327529,0.6043110084680523
72001,0.6263161604752001,0.7407685379765836,0.6889915319476521
72501,0.6057490138572994,0.7566796757730412,0.6889915319476521
73001,0.5937142699126103,0.7508255779045332,0.6458814472671286
73501,0.623140503004871,0.7442209546682678,0.565050038491147
74001,0.5982566021271708,0.7541278895226659,0.6335642802155504
74501,0.6105781017846404,0.7509756829780847,0.6004618937644342
75001,0.632689499618577,0.7436205343740618,0.5427251732101617
75501,0.6254330429551364,0.7548784148904233,0.5696689761354888
76001,0.5879199155568288,0.7629840888622036,0.6843725943033102
76501,0.6076500669743349,0.7598318823176223,0.6358737490377213
77001,0.5969862275898393,0.757880516361453,0.6320246343341032
77501,0.6044202001748944,0.7574302011407985,0.6543494996150885
78001,0.6205936645665433,0.7451215851095767,0.6797536566589685
78501,0.595570459286391,0.7574302011407985,0.5950731331793687
79001,0.5966457196046433,0.7595316721705193,0.5827559661277906
79501,0.5986198629878153,0.7623836685679976,0.5727482678983834
