Iteration,Loss,Train_acc,Test_acc
1,1327626124772.4238,0.5,0.3641262509622787
501,1117316920.210524,0.5186286787726988,0.6381832178598922
1001,492049929.0811597,0.5305259862241704,0.6412625096227867
1501,122943544.90028916,0.7753600500939261,0.6997690531177829
2001,92087213.13029025,0.7936756418284283,0.6959199384141648
2501,71429626.51967712,0.8196618659987477,0.7205542725173211
3001,56747172.630065344,0.8287413901064495,0.7351809083910701
3501,99630386.94201702,0.6266437069505323,0.6558891454965358
4001,40713282.588572085,0.8501878522229179,0.7413394919168591
4501,34636840.15601587,0.8556668753913588,0.7428791377983064
5001,30273702.81832633,0.8699123356293049,0.7551963048498845
5501,26729297.17171481,0.8793049467752035,0.7498075442648191
6001,23330450.523092933,0.8894802755165936,0.7498075442648191
6501,21174258.45166561,0.8921415153412648,0.7467282525019245
7001,19295722.24303363,0.8951158422041328,0.7444187836797537
7501,17463925.702423457,0.8993425172197871,0.7536566589684373
8001,31332994.189680804,0.7103944896681278,0.674364896073903
8501,14309625.71831982,0.908422041327489,0.7490377213240954
9001,13400259.342681881,0.9123356293049468,0.7528868360277137
9501,12565817.409713907,0.9207889793362555,0.7575057736720554
10001,11651740.637344562,0.9236067626800251,0.7590454195535027
10501,10938725.0239961,0.9236067626800251,0.745958429561201
11001,10145090.81801351,0.9292423293675642,0.7451886066204773
11501,9316666.69767238,0.9331559173450219,0.7544264819091608
12001,8797681.290548088,0.9365998747651847,0.7590454195535027
12501,15287527.244619668,0.7614276768941766,0.6974595842956121
13001,19935679.242129013,0.6642141515341264,0.4695919938414165
13501,7458364.9301651865,0.9391045710707576,0.7636643571978445
14001,7058484.731660353,0.9455228553537883,0.7675134719014627
14501,17286952.209630884,0.6649968691296181,0.4719014626635874
15001,6374286.062222661,0.9500626174076393,0.7659738260200154
15501,6086417.938272086,0.9542892924232936,0.7644341801385681
16001,10945032.18228731,0.7781778334376956,0.7005388760585065
16501,5493293.042521845,0.956011271133375,0.7659738260200154
17001,5343188.245837899,0.9546023794614903,0.7567359507313318
17501,5096836.449472684,0.9558547276142768,0.7705927636643572
18001,4819171.826510692,0.9577332498434565,0.766743648960739
18501,4699370.674434551,0.954915466499687,0.7613548883756736
19001,4439367.927514316,0.9588290544771446,0.7644341801385681
19501,4252654.830256848,0.9596117720726361,0.7621247113163973
20001,4077398.2145438166,0.9618033813400125,0.7544264819091608
20501,3857738.5250905138,0.9666562304320601,0.7705927636643572
